type,paper,layer,stats_id,dem_range,slope_min,slope_max
Forest,,Centroids,1,0.989997863769531,0.484760224819183,17.278959274291992
Forest,V_2008,Centroids,2,1.779998779296875,0.398445814847946,45.605812072753906
Forest,V_2008,Centroids,3,1.779998779296875,0.398445814847946,45.605812072753906
Forest,V_2007,Centroids,4,1.779998779296875,0.398445814847946,45.605812072753906
Forest,V_2008,Centroids,5,1.789993286132812,0.398445814847946,45.605812072753906
Forest,V_2008,Centroids,6,1.789993286132812,0.398445814847946,45.605812072753906
Forest,V_2007,Centroids,7,1.789993286132812,0.398445814847946,45.605812072753906
Forest,V_2008,Centroids,8,1.789993286132812,0.213520839810371,42.933761596679688
Forest,V_2008,Centroids,9,1.789993286132812,0.213520839810371,42.933761596679688
Forest,V_2007,Centroids,10,1.789993286132812,0.213520839810371,42.933761596679688
Forest,V_2007,Centroids,11,4.050003051757812,1.260274648666382,37.910942077636719
Forest,V_2007,Centroids,12,4.790000915527344,0.542948842048645,55.875213623046875
Forest,V_2007,Centroids,13,3.039993286132812,0.254690676927567,45.517963409423835
Forest,V_2007,Centroids,14,3.500000000000000,0.486116677522659,47.000644683837891
Forest,V_2007,Centroids,15,4.620002746582032,2.019156217575073,58.365249633789062
Forest,V_2008,Centroids,16,6.099998474121094,1.433820128440857,67.756248474121094
Forest,V_2008,Centroids,17,2.630004882812500,0.473220854997635,35.968990325927734
Forest,V_2007,Centroids,18,6.489997863769532,0.909604609012604,65.773147583007812
Forest,V_2007,Centroids,19,9.200004577636719,0.370883524417877,63.066543579101562
Forest,V_2007,Centroids,20,2.609996795654297,0.169404342770576,43.623588562011719
Forest,V_2007,Centroids,21,4.060001373291016,0.074548304080963,49.955333709716797
Forest,V_2007,Centroids,22,6.010002136230470,1.203383564949036,63.912357330322266
Forest,V_2007,Centroids,23,2.919998168945312,0.390344202518463,29.739437103271484
Forest,V_2007,Centroids,24,2.290000915527344,0.317799299955368,21.796197891235352
Forest,V_2007,Centroids,25,3.729995727539062,0.758940696716309,64.474044799804688
Forest,V_2007,Centroids,26,3.450004577636719,0.163593590259552,42.356151580810547
Forest,V_2007,Centroids,27,6.620002746582032,1.715308427810669,49.636554718017578
Forest,V_2007,Centroids,28,5.060001373291016,0.445360630750656,41.460357666015625
Forest,V_2007,Centroids,29,2.650001525878906,0.339826792478561,31.884115219116211
Forest,V_2007,Centroids,30,2.889999389648438,0.152727305889130,38.200496673583984
Forest,V_2007,Centroids,31,5.620002746582032,2.391057729721069,47.345691680908203
Forest,V_2007,Centroids,32,10.980003356933594,4.012495994567871,62.510223388671875
Forest,V_2007,Centroids,33,8.279998779296877,3.127523660659790,45.319911956787109
Forest,V_2007,Centroids,34,3.119995117187500,0.553677797317505,25.150825500488281
Forest,V_2007,Centroids,35,4.190002441406250,1.182045936584473,45.137447357177734
Forest,V_2007,Centroids,36,5.029998779296876,0.473293095827103,51.036853790283203
Forest,V_2007,Centroids,37,5.770004272460938,1.278203964233398,52.367740631103509
Forest,,Centroids,38,14.319999694824219,2.752997875213623,65.413871765136719
Forest,V_2007,Centroids,39,4.959999084472656,1.610087990760803,51.145336151123047
Forest,V_2007,Centroids,40,5.830001831054688,1.411118626594543,52.288063049316406
Forest,V_2007,Centroids,41,11.470001220703123,0.224762082099915,65.141502380371094
Forest,V_2007,Centroids,42,2.500000000000000,0.704708397388458,29.418142318725582
Forest,V_2007,Centroids,43,2.250000000000000,0.639426648616791,27.108684539794918
Forest,V_2007,Centroids,44,4.000000000000000,1.416618227958679,27.835824966430664
Forest,V_2007,Centroids,45,4.049995422363281,0.448131948709488,69.626365661621094
Forest,V_2007,Centroids,46,3.719993591308594,0.665812849998474,28.935693740844727
Forest,,Centroids,47,3.089996337890625,0.796288907527924,20.615697860717773
Forest,V_2007,Centroids,48,1.720001220703125,0.810246467590332,44.905170440673835
Forest,V_2007,Centroids,49,2.819999694824219,0.816654801368713,23.720180511474609
Forest,,Centroids,50,3.139999389648438,0.304760903120041,17.982875823974609
Forest,V_2008,Centroids,51,7.919998168945312,4.575738430023194,32.148704528808594
Forest,V_2008,Centroids,52,7.919998168945312,4.575738430023194,32.148704528808594
Forest,V_2008,Centroids,53,8.800003051757812,1.111817479133606,38.944419860839837
Forest,V_2008,Centroids,54,8.790000915527344,1.174258828163147,43.560554504394531
Forest,,Centroids,55,4.490005493164062,1.122419714927673,22.413681030273438
Forest,,Centroids,56,3.059997558593750,0.864523589611053,19.932521820068359
Forest,,Centroids,57,2.949996948242188,0.255779653787613,36.643379211425781
Forest,,Centroids,58,3.569999694824219,0.727751970291138,22.974721908569336
Forest,V_2007,Centroids,59,1.769996643066406,0.395723134279251,32.260337829589844
Forest,V_2007,Centroids,60,3.120002746582031,0.629581093788147,52.722332000732422
Forest,V_2007,Centroids,61,1.560005187988281,0.134686902165413,58.841606140136719
Forest,V_2007,Centroids,62,2.409996032714844,1.633575797080994,14.101808547973633
Cropland,V_2007,Centroids,63,2.259994506835938,0.400039732456207,11.403160095214844
Mixed,,Centroids,64,3.180000305175781,1.670813083648682,75.863204956054688
Mixed,V_2007,Centroids,65,2.029998779296875,0.736394703388214,17.715801239013672
Forest,,Centroids,66,6.870002746582032,2.282135963439941,36.908905029296875
Cropland,V_2007,Centroids,67,2.800003051757812,0.061036348342896,14.347167968750000
Mixed,V_2007,Centroids,68,3.489997863769531,1.466621279716492,39.849292755126953
Mixed,V_2007,Centroids,69,2.849998474121094,0.684542179107666,41.870651245117188
Cropland,V_2007,Centroids,70,2.979995727539062,1.869392633438110,13.923543930053709
